relative,status,startPage,endPage,sourceLabel,duplicateOf,note,sourcePath,sourceUrl
content/partnership/partnership_1965-11月-巴菲特致合伙人信.md,page-mapped,83,84,"November 1, 1965",,中文文件在原信签名及附言之后追加了 1963 年‘基本原则’和美国运通解释；这些不是本信正文，正式成书必须剥离。,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf
content/partnership/partnership_1965-annual-巴菲特致合伙人信.md,page-mapped,85,94,"January 20, 1966 / 1965 annual",,中文文件含译者扩充说明脚注，需与英文逐句核对并与本人正文隔离。,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf
content/partnership/partnership_1965-interim-巴菲特致合伙人信.md,page-mapped,79,82,"July 9, 1965 interim letter",,,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf
content/partnership/partnership_1966-11月-巴菲特致合伙人信.md,not-found-in-ivey-compilation,,,,,1966 年 11 月承诺书信未出现在 Ivey 合编本。,,
content/partnership/partnership_1966-annual-巴菲特致合伙人信.md,page-mapped,100,107,"January 25, 1967 / 1966 annual",,,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf
content/partnership/partnership_1966-interim-巴菲特致合伙人信.md,page-mapped,95,99,"July 12, 1966 interim letter",,,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf
content/partnership/partnership_1967-10月-巴菲特致合伙人信.md,page-mapped,111,114,"October 9, 1967",,,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf
content/partnership/partnership_1967-11月-巴菲特致合伙人信.md,not-found-in-ivey-compilation,,,,,1967 年 11 月承诺书信未出现在 Ivey 合编本。,,
content/partnership/partnership_1967-annual-巴菲特致合伙人信.md,page-mapped,115,119,"January 24, 1968 / 1967 annual",,,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf
content/partnership/partnership_1967-interim-巴菲特致合伙人信.md,page-mapped,108,110,"July 12, 1967 interim letter",,,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf
content/partnership/partnership_1968-11月-巴菲特致合伙人信.md,not-found-in-ivey-compilation,,,,,1968 年 11 月承诺书信未出现在 Ivey 合编本。,,
content/partnership/partnership_1968-annual-巴菲特致合伙人信.md,page-mapped,123,128,"January 22, 1969 / 1968 annual",,,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf
content/partnership/partnership_1968-interim-巴菲特致合伙人信.md,page-mapped,120,122,"July 11, 1968 interim letter",,,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf
content/partnership/partnership_1969-10月-巴菲特致合伙人信.md,page-mapped,132,136,"October 9, 1969",,,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf
content/partnership/partnership_1969-12月-巴菲特致合伙人信.md,page-mapped,137,140,"December 5, 1969",,,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf
content/partnership/partnership_1969-12月26日-巴菲特致合伙人信.md,page-mapped,141,144,"December 26, 1969",,,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf
content/partnership/partnership_1969-5月-巴菲特致合伙人信.md,page-mapped,129,131,"May 29, 1969",,,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf
content/partnership/partnership_1969-annual-巴菲特致合伙人信.md,duplicate-markdown-version,,,,content/partnership/partnership_1969-5月-巴菲特致合伙人信.md,正文对应同一封 1969 年 5 月 29 日信，不应作为第二封年度信重复收入。,,
content/partnership/partnership_1969-liquidation-巴菲特致合伙人信.md,duplicate-markdown-version,,,,content/partnership/partnership_1969-12月26日-巴菲特致合伙人信.md,正文对应同一封 1969 年 12 月 26 日清算信，不应重复收入。,,
content/partnership/partnership_1970-bond-巴菲特致合伙人信.md,page-mapped,145,152,"February 25, 1970 tax-exempt bond letter",,,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf
